'Wily Caballero', 13, 'Manchester City', 'Argentina', 'GoalKeeper'
'Angus Gunn', 54, 'Manchester City', 'England', 'GoalKeeper'
'Claudio Bravo', 1, 'Manchester City', 'Chile', 'GoalKeeper'
'Bacary Sagna', 3, 'Manchester City', 'France', 'Defender'
'Vincent Kompany', 4, 'Manchester City', 'Belgium', 'Defender'
'Pablo Zabaleta', 5, 'Manchester City', 'Argentina', 'Defender'
'Aleksandar Kolarov', 11, 'Manchester City', 'Serbia', 'Defender'
'Gael Clichy', 22, 'Manchester City', 'France', 'Defender'
'Nicolas Otamendi', 30, 'Manchester City', 'Argentina', 'Defender'
'John Stones', 24, 'Manchester City', 'England', 'Defender'
'Tosin Adarabioyo', 53, 'Manchester City', 'England', 'Defender'
'Fernando', 6, 'Manchester City', 'Brazil', 'Midfielder'
'Jesus Navas', 15, 'Manchester City', 'Spain', 'Midfielder'
'Kevin De Bruyne', 17, 'Manchester City', 'Belgium', 'Midfielder'
'Fabian Delph', 18, 'Manchester City', 'England', 'Midfielder'
'David Silva', 21, 'Manchester City', 'Spain', 'Midfielder'
'Fernandinho', 25, 'Manchester City', 'Brazil', 'Midfielder'
'Yaya Toure', 42, 'Manchester City', 'Cote D''Ivoire', 'Midfielder'
'Ilkay Gundogan', 8, 'Manchester City', 'Germany', 'Midfielder'
'Leroy Sane', 19, 'Manchester City', 'Germany', 'Midfielder'
'Aleix Garcia', 75, 'Manchester City', 'Spain', 'Midfielder'
'Brahim Diaz', 55, 'Manchester City', 'Spain', 'Midfielder'
'Raheem Sterling', 7, 'Manchester City', 'England', 'Forward'
'Sergio Aguero', 10, 'Manchester City', 'Argentina', 'Forward'
'Kelechi Iheanacho', 72, 'Manchester City', 'Nigeria', 'Forward'
'Nolito', 9, 'Manchester City', 'Spain', 'Forward'
'Phil Foden', 80, 'Manchester City', 'England', 'Forward'
'Gabriel Jesus', 33, 'Manchester City', 'Brazil', 'Forward'
  
